Name                                                                                                                       Coverage           
-------------------------------------------------------------------------------------------------------------------------- ------------------ 
arcana-ios.app                                                                                                             34.93% (2320/6641) 
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/arcana_iosApp.swift                                             100.00% (41/41)    
        arcana_iosApp.init()                                                                                               100.00% (9/9)      
        closure #1 in arcana_iosApp.init()                                                                                 100.00% (3/3)      
        arcana_iosApp.body.getter                                                                                          100.00% (6/6)      
        closure #1 in arcana_iosApp.body.getter                                                                            100.00% (4/4)      
        variable initialization expression of ContentView._navGraph                                                        100.00% (1/1)      
        ContentView.body.getter                                                                                            100.00% (9/9)      
        closure #1 in ContentView.body.getter                                                                              100.00% (6/6)      
        closure #1 in closure #1 in ContentView.body.getter                                                                100.00% (3/3)      
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaPresentation/Screens/User/NavGraph.swift          25.66% (68/265)    
        variable initialization expression of NavGraph.path                                                                100.00% (1/1)      
        NavGraph.push(_:)                                                                                                  100.00% (4/4)      
        NavGraph.pop()                                                                                                     0.00% (0/4)        
        NavGraph.popToRoot()                                                                                               0.00% (0/3)        
        NavGraph.popTo(_:)                                                                                                 0.00% (0/4)        
        NavGraph.presentSheet(_:)                                                                                          0.00% (0/4)        
        NavGraph.dismissSheet()                                                                                            0.00% (0/3)        
        NavGraph.presentFullScreenCover(_:)                                                                                0.00% (0/4)        
        NavGraph.dismissFullScreenCover()                                                                                  0.00% (0/3)        
        NavGraph.showAlert(_:)                                                                                             0.00% (0/3)        
        NavGraph.dismissAlert()                                                                                            0.00% (0/3)        
        NavGraph.navigateToMain()                                                                                          0.00% (0/3)        
        NavGraph.navigateToUserList()                                                                                      100.00% (3/3)      
        NavGraph.navigateToUserDetail(_:)                                                                                  0.00% (0/3)        
        NavGraph.presentCreateUserForm()                                                                                   0.00% (0/3)        
        NavGraph.presentEditUserForm(_:)                                                                                   0.00% (0/3)        
        NavGraph.navigateToSettings()                                                                                      0.00% (0/3)        
        NavGraph.trackNavigation(to:)                                                                                      100.00% (5/5)      
        variable initialization expression of AlertConfig.id                                                               0.00% (0/1)        
        AlertConfig.init(title:message:primaryButton:secondaryButton:)                                                     0.00% (0/6)        
        closure #1 in default argument 2 of AlertConfig.AlertButton.init(title:role:action:)                               0.00% (0/1)        
        AlertConfig.AlertButton.init(title:role:action:)                                                                   0.00% (0/5)        
        View.withNavigation(_:)                                                                                            100.00% (3/3)      
        NavGraphModifier.body(content:)                                                                                    100.00% (36/36)    
        closure #1 in NavGraphModifier.body(content:)                                                                      0.00% (0/5)        
        closure #1 in closure #1 in NavGraphModifier.body(content:)                                                        0.00% (0/3)        
        closure #2 in NavGraphModifier.body(content:)                                                                      0.00% (0/5)        
        closure #1 in closure #2 in NavGraphModifier.body(content:)                                                        0.00% (0/3)        
        implicit closure #1 in NavGraphModifier.body(content:)                                                             100.00% (1/1)      
        closure #3 in NavGraphModifier.body(content:)                                                                      100.00% (1/1)      
        closure #4 in NavGraphModifier.body(content:)                                                                      0.00% (0/1)        
        closure #5 in NavGraphModifier.body(content:)                                                                      0.00% (0/12)       
        closure #1 in closure #5 in NavGraphModifier.body(content:)                                                        0.00% (0/3)        
        closure #2 in closure #5 in NavGraphModifier.body(content:)                                                        0.00% (0/3)        
        closure #6 in NavGraphModifier.body(content:)                                                                      0.00% (0/5)        
        static NavGraphView.view(for:navGraph:)                                                                            46.67% (14/30)     
        closure #1 in static NavGraphView.view(for:navGraph:)                                                              0.00% (0/8)        
        closure #2 in static NavGraphView.view(for:navGraph:)                                                              0.00% (0/3)        
        UserDetailView.body.getter                                                                                         0.00% (0/17)       
        closure #1 in UserDetailView.body.getter                                                                           0.00% (0/13)       
        closure #1 in closure #1 in UserDetailView.body.getter                                                             0.00% (0/3)        
        SettingsView.body.getter                                                                                           0.00% (0/14)       
        closure #1 in SettingsView.body.getter                                                                             0.00% (0/10)       
        closure #1 in closure #1 in SettingsView.body.getter                                                               0.00% (0/8)        
        closure #1 in closure #1 in closure #1 in SettingsView.body.getter                                                 0.00% (0/6)        
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaCore/Common/AppError.swift                        0.00% (0/187)      
        AppError.errorCode.getter                                                                                          0.00% (0/18)       
        AppError.message.getter                                                                                            0.00% (0/12)       
        AppError.isRetryable.getter                                                                                        0.00% (0/12)       
        AppError.underlyingError.getter                                                                                    0.00% (0/10)       
        static AppError.from(_:)                                                                                           0.00% (0/80)       
        static AppError.fromHTTPResponse(statusCode:data:)                                                                 0.00% (0/22)       
        closure #1 in static AppError.fromHTTPResponse(statusCode:data:)                                                   0.00% (0/1)        
        implicit closure #1 in static AppError.fromHTTPResponse(statusCode:data:)                                          0.00% (0/1)        
        AppError.errorDescription.getter                                                                                   0.00% (0/3)        
        AppError.failureReason.getter                                                                                      0.00% (0/3)        
        AppError.recoverySuggestion.getter                                                                                 0.00% (0/16)       
        AppError.description.getter                                                                                        0.00% (0/9)        
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaCore/DI/AppDependencies.swift                     24.86% (92/370)    
        DependencyValues.userService.getter                                                                                100.00% (1/1)      
        DependencyValues.userService.setter                                                                                0.00% (0/1)        
        DependencyValues.analyticsTracker.getter                                                                           100.00% (1/1)      
        DependencyValues.analyticsTracker.setter                                                                           0.00% (0/1)        
        DependencyValues.userRepository.getter                                                                             100.00% (1/1)      
        DependencyValues.userRepository.setter                                                                             0.00% (0/1)        
        static UserServiceKey.liveValue.getter                                                                             83.33% (5/6)       
        implicit closure #1 in static UserServiceKey.liveValue.getter                                                      0.00% (0/1)        
        static AnalyticsTrackerKey.liveValue.getter                                                                        83.33% (5/6)       
        implicit closure #1 in static AnalyticsTrackerKey.liveValue.getter                                                 0.00% (0/1)        
        static UserRepositoryKey.liveValue.getter                                                                          83.33% (5/6)       
        implicit closure #1 in static UserRepositoryKey.liveValue.getter                                                   0.00% (0/1)        
        static AppDependencies.setup(modelContainer:useRealAPI:)                                                           87.50% (49/56)     
        static AppDependencies.registerLiveDependencies(userService:analyticsTracker:repository:)                          100.00% (6/6)      
        static AppDependencies.createModelContainer()                                                                      35.19% (19/54)     
        implicit closure #1 in static AppDependencies.createModelContainer()                                               0.00% (0/1)        
        static AppDependencies.withTestDependencies<A>(userService:analyticsTracker:repository:operation:)                 0.00% (0/15)       
        closure #1 in static AppDependencies.withTestDependencies<A>(userService:analyticsTracker:repository:operation:)   0.00% (0/11)       
        closure #2 in static AppDependencies.withTestDependencies<A>(userService:analyticsTracker:repository:operation:)   0.00% (0/3)        
        static AppDependencies.withPreviewDependencies<A>(mockUsers:operation:)                                            0.00% (0/17)       
        closure #1 in static AppDependencies.withPreviewDependencies<A>(mockUsers:operation:)                              0.00% (0/13)       
        implicit closure #1 in closure #1 in static AppDependencies.withPreviewDependencies<A>(mockUsers:operation:)       0.00% (0/7)        
        closure #2 in static AppDependencies.withPreviewDependencies<A>(mockUsers:operation:)                              0.00% (0/3)        
        variable initialization expression of MockUserService.getUsersResult                                               0.00% (0/1)        
        MockUserService.getUsers()                                                                                         0.00% (0/3)        
        MockUserService.getUsers(page:perPage:)                                                                            0.00% (0/26)       
        MockUserService.getUser(id:)                                                                                       0.00% (0/7)        
        closure #1 in MockUserService.getUser(id:)                                                                         0.00% (0/1)        
        MockUserService.createUser(_:)                                                                                     0.00% (0/3)        
        MockUserService.updateUser(_:)                                                                                     0.00% (0/3)        
        MockUserService.deleteUser(_:)                                                                                     0.00% (0/3)        
        MockUserService.searchUsers(query:)                                                                                0.00% (0/6)        
        closure #1 in MockUserService.searchUsers(query:)                                                                  0.00% (0/4)        
        implicit closure #1 in closure #1 in MockUserService.searchUsers(query:)                                           0.00% (0/1)        
        MockUserService.refreshUsers()                                                                                     0.00% (0/3)        
        variable initialization expression of MockAnalyticsTracker.sessionId                                               0.00% (0/1)        
        variable initialization expression of MockAnalyticsTracker.trackedEvents                                           0.00% (0/1)        
        MockAnalyticsTracker.trackEvent(_:params:)                                                                         0.00% (0/3)        
        MockAnalyticsTracker.trackScreen(_:params:)                                                                        0.00% (0/3)        
        MockAnalyticsTracker.trackError(_:context:)                                                                        0.00% (0/3)        
        MockAnalyticsTracker.trackAppError(_:context:)                                                                     0.00% (0/3)        
        variable initialization expression of MockUserRepository.getUsersResult                                            0.00% (0/1)        
        MockUserRepository.getUsers()                                                                                      0.00% (0/3)        
        MockUserRepository.getUsers(page:perPage:)                                                                         0.00% (0/26)       
        MockUserRepository.getUser(id:)                                                                                    0.00% (0/7)        
        closure #1 in MockUserRepository.getUser(id:)                                                                      0.00% (0/1)        
        MockUserRepository.createUser(_:)                                                                                  0.00% (0/3)        
        MockUserRepository.updateUser(_:)                                                                                  0.00% (0/3)        
        MockUserRepository.deleteUser(_:)                                                                                  0.00% (0/3)        
        MockUserRepository.searchUsers(query:)                                                                             0.00% (0/6)        
        closure #1 in MockUserRepository.searchUsers(query:)                                                               0.00% (0/4)        
        implicit closure #1 in closure #1 in MockUserRepository.searchUsers(query:)                                        0.00% (0/1)        
        MockUserRepository.refreshUsers()                                                                                  0.00% (0/3)        
        static AppDependencies.setupWithMockAPI(modelContainer:)                                                           0.00% (0/15)       
        static AppDependencies.printDependencyInfo()                                                                       0.00% (0/6)        
